scorer_rank,scorer,team,goals,penalties,own_goals,first_goal_date,latest_goal_date,scorer_label
3238,Georgios Georgiadis,Greece,4,0,0,1995-09-06,2001-03-28,3238. Georgios Georgiadis
3239,Emad Ayoub,Palestine,4,0,0,2001-03-04,2001-03-25,3239. Emad Ayoub
3240,Andrejs Štolcers,Latvia,4,0,0,1998-09-06,2001-03-24,3240. Andrejs Štolcers
3241,Ali Meçabih,Algeria,4,0,0,1996-01-18,2001-03-11,3241. Ali Meçabih
3242,Bob Peeters,Belgium,4,0,0,2000-10-07,2001-02-28,3242. Bob Peeters
3243,Razundara Tjikuzu,Namibia,4,0,0,2000-04-22,2001-02-24,3243. Razundara Tjikuzu
3244,Tokhirjon Muminov,Tajikistan,4,0,0,1997-05-04,2000-11-26,3244. Tokhirjon Muminov
3245,Ferenc Horváth,Hungary,4,0,0,1998-09-06,2000-10-11,3245. Ferenc Horváth
3246,Miklós Fehér,Hungary,4,0,0,1998-10-10,2000-10-11,3246. Miklós Fehér
3247,Don Hutchison,Scotland,4,0,0,1999-09-04,2000-10-07,3247. Don Hutchison
3248,Eddie Pope,United States,4,0,0,1997-03-16,2000-08-16,3248. Eddie Pope
3249,Juan Manuel Funes,Guatemala,4,0,0,1985-05-15,2000-06-18,3249. Juan Manuel Funes
3250,Iván Valenciano,Colombia,4,0,0,1993-08-15,2000-06-04,3250. Iván Valenciano
3251,Jean-Robert Menelas,Haiti,4,0,0,2000-03-11,2000-04-01,3251. Jean-Robert Menelas
3252,Finidi George,Nigeria,4,0,0,1993-02-27,2000-02-03,3252. Finidi George
3253,Donald-Olivier Sié,Ivory Coast,4,0,0,1992-01-20,2000-01-31,3253. Donald-Olivier Sié
3254,Steve Staunton,Republic of Ireland,4,0,0,1993-03-31,1999-09-08,3254. Steve Staunton
3255,Tomas Ramelis,Lithuania,4,0,0,1991-11-15,1999-09-08,3255. Tomas Ramelis
3256,Ibrahim Al-Shahrani,Saudi Arabia,4,0,0,1997-03-16,1999-07-29,3256. Ibrahim Al-Shahrani
3257,Márcio Amoroso,Brazil,4,0,0,1999-06-30,1999-07-14,3257. Márcio Amoroso
3258,Pedro Reyes,Chile,4,0,0,1997-04-29,1999-07-11,3258. Pedro Reyes
3259,Hamilton Ricard,Colombia,4,0,0,1997-06-08,1999-07-07,3259. Hamilton Ricard
3260,Sergen Yalçın,Turkey,4,0,0,1994-10-12,1999-03-27,3260. Sergen Yalçın
3261,Henning Berg,Norway,4,0,0,1994-11-16,1998-10-14,3261. Henning Berg
3262,César Sampaio,Brazil,4,0,0,1997-12-12,1998-06-27,3262. César Sampaio
3263,Vladimirs Babičevs,Latvia,4,0,0,1994-11-15,1998-06-25,3263. Vladimirs Babičevs
3264,Gervatius Uri Khob,Namibia,4,0,0,1996-06-16,1998-02-12,3264. Gervatius Uri Khob
3265,Preki,United States,4,0,0,1996-12-21,1998-02-10,3265. Preki
3266,Gao Feng,China PR,4,0,0,1996-12-09,1997-10-31,3266. Gao Feng
3267,Ko Jeong-woon,South Korea,4,0,0,1993-10-16,1997-10-18,3267. Ko Jeong-woon
3268,Alireza Mansourian,Iran,4,0,0,1997-06-11,1997-10-17,3268. Alireza Mansourian
3269,Viktor Zubarev,Kazakhstan,4,0,0,1997-06-11,1997-10-04,3269. Viktor Zubarev
3270,Seo Jung-won,South Korea,4,0,0,1993-05-15,1997-09-28,3270. Seo Jung-won
3271,Guillermo Amor,Spain,4,0,0,1990-12-19,1997-09-24,3271. Guillermo Amor
3272,Yiannos Ioannou,Cyprus,4,0,0,1989-02-08,1997-09-07,3272. Yiannos Ioannou
3273,Leonardo Araújo,Brazil,4,0,0,1995-07-13,1997-06-26,3273. Leonardo Araújo
3274,Arsen Avakov,Tajikistan,4,0,0,1997-06-01,1997-06-22,3274. Arsen Avakov
3275,Ernie Tapai,Australia,4,0,0,1996-10-27,1997-06-17,3275. Ernie Tapai
3276,Nihad Boshi,Syria,4,0,0,1997-06-04,1997-06-13,3276. Nihad Boshi
3277,Aron Winter,Netherlands,4,0,0,1990-12-19,1997-04-30,3277. Aron Winter
3278,Jeris Tadrus,Jordan,4,0,0,1993-05-24,1997-04-19,3278. Jeris Tadrus
3279,Ronny Wabia,Indonesia,4,0,0,1996-12-04,1997-04-06,3279. Ronny Wabia
3280,Juan Antonio Pizzi,Spain,4,0,0,1995-09-06,1997-02-12,3280. Juan Antonio Pizzi
3281,Momo Soumah,Guinea,4,0,0,1996-06-16,1997-01-12,3281. Momo Soumah
3282,Pablo Bengoechea,Uruguay,4,0,0,1987-07-12,1996-12-15,3282. Pablo Bengoechea
3283,Julio Rodas,Guatemala,4,0,0,1989-04-02,1996-12-08,3283. Julio Rodas
3284,Ertuğrul Sağlam,Turkey,4,0,0,1993-11-10,1996-11-10,3284. Ertuğrul Sağlam
3285,Juan Reynoso Guzmán,Peru,4,0,0,1989-07-01,1996-11-10,3285. Juan Reynoso Guzmán
3286,Fernando Couto,Portugal,4,0,0,1993-02-24,1996-11-09,3286. Fernando Couto
3287,Gerry Taggart,Northern Ireland,4,0,0,1991-11-13,1996-11-09,3287. Gerry Taggart
3288,Les Ferdinand,England,4,0,0,1993-02-17,1996-11-09,3288. Les Ferdinand
3289,Ali Maher,Egypt,4,0,0,1996-01-18,1996-11-08,3289. Ali Maher
3290,Yuriy Nikiforov,Russia,4,0,0,1994-10-12,1996-09-01,3290. Yuriy Nikiforov
3291,Andy Townsend,Republic of Ireland,4,0,0,1991-10-16,1996-08-31,3291. Andy Townsend
3292,Isaac Chauvet,Haiti,4,0,0,1996-05-12,1996-06-30,3292. Isaac Chauvet
3293,Andre Hinds,Saint Vincent and the Grenadines,4,0,0,1996-05-04,1996-06-23,3293. Andre Hinds
3294,Matthias Sammer,Germany,4,0,0,1995-10-08,1996-06-23,3294. Matthias Sammer
3295,John Moshoeu,South Africa,4,0,0,1996-01-13,1996-01-31,3295. John Moshoeu
3296,Tony Yeboah,Ghana,4,0,0,1992-01-17,1996-01-28,3296. Tony Yeboah
3297,Elijah Litana,Zambia,4,0,0,1993-09-26,1996-01-27,3297. Elijah Litana
3298,Alexis Alexandris,Greece,4,0,0,1994-09-07,1995-11-15,3298. Alexis Alexandris
3299,Michael O'Neill,Northern Ireland,4,0,0,1989-04-26,1995-11-15,3299. Michael O'Neill
3300,Armands Zeiberliņš,Latvia,4,0,0,1995-05-19,1995-09-06,3300. Armands Zeiberliņš
3301,István Vincze,Hungary,4,0,0,1987-05-17,1995-06-11,3301. István Vincze
3302,Roman Kosecki,Poland,4,0,0,1991-04-17,1995-06-07,3302. Roman Kosecki
3303,Marc Hottiger,Switzerland,4,0,0,1990-09-12,1995-04-26,3303. Marc Hottiger
3304,Mini Jakobsen,Norway,4,0,0,1991-11-13,1995-04-26,3304. Mini Jakobsen
3305,João Domingos Pinto,Portugal,4,0,0,1989-04-26,1994-12-18,3305. João Domingos Pinto
3306,Bryan Roy,Netherlands,4,0,0,1994-06-29,1994-12-14,3306. Bryan Roy
3307,Thomas Bickel,Switzerland,4,0,0,1990-09-12,1994-12-14,3307. Thomas Bickel
3308,John Jensen,Denmark,4,0,0,1957-05-15,1994-10-12,3308. John Jensen
3309,Philippe Albert,Belgium,4,0,0,1992-06-03,1994-07-02,3309. Philippe Albert
3310,Marcelino Bernal,Mexico,4,0,0,1992-12-06,1994-06-28,3310. Marcelino Bernal
3311,Alain Sutter,Switzerland,4,0,0,1988-09-21,1994-06-22,3311. Alain Sutter
3312,Choi Won-nam,North Korea,4,0,0,1993-04-11,1993-10-25,3312. Choi Won-nam
3313,Roberto Donadoni,Italy,4,0,0,1986-11-15,1993-10-13,3313. Roberto Donadoni
3314,Emmanuel Maboang,Cameroon,4,0,0,1990-03-09,1993-10-10,3314. Emmanuel Maboang
3315,Roberto Mancini,Italy,4,0,0,1988-06-10,1993-09-22,3315. Roberto Mancini
3316,Fernando Kanapkis,Uruguay,4,0,0,1993-06-19,1993-08-29,3316. Fernando Kanapkis
3317,Ramón Medina Bello,Argentina,4,0,0,1993-08-08,1993-08-22,3317. Ramón Medina Bello
3318,Ignacio Ambríz,Mexico,4,0,0,1993-04-11,1993-07-25,3318. Ignacio Ambríz
3319,Abdul Latif Helou,Syria,4,0,0,1989-03-15,1993-07-02,3319. Abdul Latif Helou
3320,Cai Sheng,China PR,4,0,0,1993-05-22,1993-05-26,3320. Cai Sheng
3321,Azizol Abu Haniffah,Malaysia,4,0,0,1989-05-23,1993-05-18,3321. Azizol Abu Haniffah
3322,Fandi Ahmad,Singapore,4,0,0,1993-04-13,1993-05-02,3322. Fandi Ahmad
3323,Luis Flores,Mexico,4,0,0,1986-06-07,1993-05-02,3323. Luis Flores
3324,V. Sundramoorthy,Singapore,4,0,0,1993-04-11,1993-05-02,3324. V. Sundramoorthy
3325,Masahiro Fukuda,Japan,4,0,0,1992-11-06,1993-04-30,3325. Masahiro Fukuda
3326,Kevin Wilson,Northern Ireland,4,0,0,1991-09-11,1993-04-28,3326. Kevin Wilson
3327,Kelvin Mutale,Zambia,4,0,0,1992-10-11,1993-02-27,3327. Kelvin Mutale
3328,Javier Astúa,Costa Rica,4,0,0,1992-08-23,1992-12-13,3328. Javier Astúa
3329,Henrik Larsen,Denmark,4,0,0,1992-06-17,1992-11-18,3329. Henrik Larsen
3330,Khalid Ismaïl,United Arab Emirates,4,0,0,1989-01-20,1992-11-08,3330. Khalid Ismaïl
3331,Xie Yuxin,China PR,4,0,0,1988-12-04,1992-11-06,3331. Xie Yuxin
3332,Kevin Sheedy,Republic of Ireland,4,0,0,1983-11-16,1992-09-09,3332. Kevin Sheedy
3333,Kálmán Kovács,Hungary,4,0,0,1989-09-06,1992-09-09,3333. Kálmán Kovács
3334,Frank Rijkaard,Netherlands,4,0,0,1983-12-17,1992-06-22,3334. Frank Rijkaard
3335,Ioan Lupescu,Romania,4,0,0,1990-12-05,1992-05-20,3335. Ioan Lupescu
3336,Heinz Hermann,Switzerland,4,0,0,1979-06-09,1991-09-11,3336. Heinz Hermann
3337,Gustavo Neffa,Paraguay,4,0,0,1989-07-01,1991-07-10,3337. Gustavo Neffa
3338,Sergei Aleinikov,Russia,4,0,0,1986-06-02,1991-05-29,3338. Sergei Aleinikov
3339,Carlos Muñoz Cobo,Spain,4,0,0,1990-10-10,1990-12-19,3339. Carlos Muñoz Cobo
3340,Patricio Yáñez,Chile,4,0,0,1979-08-29,1989-08-27,3340. Patricio Yáñez
3341,Carlos Maldonado,Venezuela,4,0,0,1989-07-01,1989-07-05,3341. Carlos Maldonado
3342,Mohamed Timoumi,Morocco,4,0,0,1980-06-22,1989-06-25,3342. Mohamed Timoumi
3343,Kim Yong-Se,South Korea,4,0,0,1989-05-25,1989-06-07,3343. Kim Yong-Se
3344,Darimosuvito Tokijan,Singapore,4,0,0,1989-06-05,1989-06-05,3344. Darimosuvito Tokijan
3345,Chris Waddle,England,4,0,0,1985-10-16,1989-04-26,3345. Chris Waddle
3346,Tanju Çolak,Turkey,4,0,0,1988-11-02,1989-04-12,3346. Tanju Çolak
3347,Malcolm Dunford,New Zealand,4,0,0,1985-10-26,1989-04-09,3347. Malcolm Dunford
3348,Byun Byung-joo,South Korea,4,0,0,1985-07-21,1988-12-11,3348. Byun Byung-joo
3349,Fadil Vokrri,Yugoslavia,4,0,0,1984-10-20,1987-10-14,3349. Fadil Vokrri
3350,Bernard Genghini,France,4,0,0,1981-12-05,1986-06-28,3350. Bernard Genghini
3351,Pedro Pasculli,Argentina,4,0,0,1985-06-02,1986-06-16,3351. Pedro Pasculli
3352,Michael Chabala,Zambia,4,0,0,1985-04-07,1986-03-08,3352. Michael Chabala
3353,Klaus Berggreen,Denmark,4,0,0,1982-11-10,1985-10-16,3353. Klaus Berggreen
3354,Hiromi Hara,Japan,4,0,0,1985-03-21,1985-09-22,3354. Hiromi Hara
3355,Wan Chi Keung,Hong Kong,4,0,0,1980-12-28,1985-09-22,3355. Wan Chi Keung
3356,Glenn Hoddle,England,4,0,0,1979-11-22,1985-09-11,3356. Glenn Hoddle
3357,Dede Sulaiman,Indonesia,4,0,0,1985-03-15,1985-07-30,3357. Dede Sulaiman
3358,Mark Hateley,England,4,0,0,1984-10-17,1985-05-22,3358. Mark Hateley
3359,Opoku Nti,Ghana,4,0,0,1982-03-05,1985-04-21,3359. Opoku Nti
3360,Anatoliy Demyanenko,Russia,4,0,0,1981-09-23,1985-04-17,3360. Anatoliy Demyanenko
3361,Stoycho Mladenov,Bulgaria,4,0,0,1981-10-14,1985-04-06,3361. Stoycho Mladenov
3362,Bambang Nurdiansyah,Indonesia,4,0,0,1985-03-18,1985-04-02,3362. Bambang Nurdiansyah
3363,Eduardo Laing,Honduras,4,0,0,1981-11-03,1985-03-10,3363. Eduardo Laing
3364,Ali Al-Beshari,Libya,4,0,0,1982-03-16,1985-03-08,3364. Ali Al-Beshari
3365,Luis Ramírez Zapata,El Salvador,4,0,0,1977-10-08,1985-02-27,3365. Luis Ramírez Zapata
3366,Mak King-Fun,Hong Kong,4,0,0,1985-02-23,1985-02-23,3366. Mak King-Fun
3367,Umberto Barberis,Switzerland,4,0,0,1979-10-13,1984-10-17,3367. Umberto Barberis
3368,Khalid Labied,Morocco,4,0,0,1980-03-16,1984-07-15,3368. Khalid Labied
3369,Théophile Abega,Cameroon,4,0,0,1980-06-29,1984-03-18,3369. Théophile Abega
3370,Éder Aleixo de Assis,Brazil,4,0,0,1982-06-14,1983-10-13,3370. Éder Aleixo de Assis
3371,Billy Hamilton,Northern Ireland,4,0,0,1981-03-25,1983-09-21,3371. Billy Hamilton
3372,Michael Robinson,Republic of Ireland,4,0,0,1980-11-19,1983-09-21,3372. Michael Robinson
3373,Åge Hareide,Norway,4,0,0,1980-09-24,1983-09-07,3373. Åge Hareide
3374,Kees van Kooten,Netherlands,4,0,0,1981-04-29,1982-12-19,3374. Kees van Kooten
3375,Arne Larsen Økland,Norway,4,0,0,1978-09-20,1982-10-27,3375. Arne Larsen Økland
3376,Paulo Roberto Falcão,Brazil,4,0,0,1979-10-31,1982-07-05,3376. Paulo Roberto Falcão
3377,Daniel Bertoni,Argentina,4,0,0,1978-06-02,1982-06-23,3377. Daniel Bertoni
3378,Grégoire M'Bida,Cameroon,4,0,0,1980-10-12,1982-06-23,3378. Grégoire M'Bida
3379,Vahid Halilhodžić,Yugoslavia,4,0,0,1978-10-04,1981-11-21,3379. Vahid Halilhodžić
3380,László Bálint,Hungary,4,0,0,1973-04-29,1981-10-31,3380. László Bálint
3381,Shen Xiangfu,China PR,4,0,0,1980-09-25,1981-10-18,3381. Shen Xiangfu
3382,Georgi Slavkov,Bulgaria,4,0,0,1980-10-19,1981-10-14,3382. Georgi Slavkov
3383,Ásgeir Sigurvinsson,Iceland,4,0,0,1975-06-05,1981-10-14,3383. Ásgeir Sigurvinsson
3384,Meli Vuilabasa,Fiji,4,0,0,1980-02-27,1981-08-10,3384. Meli Vuilabasa
3385,Trevor Brooking,England,4,0,0,1977-11-16,1981-06-06,3385. Trevor Brooking
3386,Lars Bastrup,Denmark,4,0,0,1975-10-29,1981-06-03,3386. Lars Bastrup
3387,Dick Nanninga,Netherlands,4,0,0,1978-06-25,1981-02-22,3387. Dick Nanninga
3388,Miguel Aguilar,Bolivia,4,0,0,1977-03-06,1981-02-15,3388. Miguel Aguilar
3389,Jean Manga Onguéné,Cameroon,4,0,0,1970-02-08,1980-10-12,3389. Jean Manga Onguéné
3390,Xu Yonglai,China PR,4,0,0,1980-09-20,1980-09-25,3390. Xu Yonglai
3391,Hassan Shehata,Egypt,4,0,0,1974-03-11,1980-03-12,3391. Hassan Shehata
3392,Paul Kay,Australia,4,0,0,1980-02-24,1980-03-01,3392. Paul Kay
3393,,Papua New Guinea,4,0,0,1980-02-24,1980-02-24,
3394,Sedat Özden,Turkey,4,0,0,1977-11-27,1979-10-28,3394. Sedat Özden
3395,Stanisław Terlecki,Poland,4,0,0,1976-10-31,1979-09-12,3395. Stanisław Terlecki
3396,Jorge Peredo,Chile,4,0,0,1979-08-08,1979-09-05,3396. Jorge Peredo
3397,Atik Ismail,Finland,4,0,0,1978-05-24,1979-07-04,3397. Atik Ismail
3398,Bob Latchford,England,4,0,0,1978-09-20,1979-02-07,3398. Bob Latchford
3399,Béla Várady,Hungary,4,0,0,1975-10-19,1978-10-28,3399. Béla Várady
3400,Ian Edwards,Wales,4,0,0,1978-10-25,1978-10-25,3400. Ian Edwards
3401,Ernie Brandts,Netherlands,4,0,0,1978-06-14,1978-10-11,3401. Ernie Brandts
3402,Georgios Delikaris,Greece,4,0,0,1974-11-20,1978-10-11,3402. Georgios Delikaris
3403,René Houseman,Argentina,4,0,0,1974-06-19,1978-06-21,3403. René Houseman
3404,René van de Kerkhof,Netherlands,4,0,0,1973-08-29,1978-06-18,3404. René van de Kerkhof
3405,Opoku Afriyie,Ghana,4,0,0,1976-10-10,1978-03-16,3405. Opoku Afriyie
3406,Abderraouf Ben Aziza,Tunisia,4,0,0,1977-11-25,1978-03-09,3406. Abderraouf Ben Aziza
3407,Obby Kapita,Zambia,4,0,0,1973-11-18,1978-03-05,3407. Obby Kapita
3408,Kwok Ka-ming,Hong Kong,4,0,0,1973-05-22,1977-12-04,3408. Kwok Ka-ming
3409,László Nagy,Hungary,4,0,0,1970-10-07,1977-10-29,3409. László Nagy
3410,Pierre Bayonne,Haiti,4,0,0,1971-11-28,1977-10-12,3410. Pierre Bayonne
3411,Hamad Khalid Bo Hamad,Kuwait,4,0,0,1973-05-15,1977-10-02,3411. Hamad Khalid Bo Hamad
3412,Wim van Hanegem,Netherlands,4,0,0,1968-09-04,1977-08-31,3412. Wim van Hanegem
3413,Hugo Sotil,Peru,4,0,0,1973-04-29,1977-03-26,3413. Hugo Sotil
3414,Sergio Ahumada,Chile,4,0,0,1973-05-13,1977-03-06,3414. Sergio Ahumada
3415,James Wong,Malaysia,4,0,0,1977-03-01,1977-03-01,3415. James Wong
3416,Papa Camara,Guinea,4,0,0,1976-03-09,1977-02-27,3416. Papa Camara
3417,Chérif Souleymane,Guinea,4,0,0,1972-03-12,1977-02-13,3417. Chérif Souleymane
3418,Taha Basry,Egypt,4,0,0,1970-02-07,1976-03-03,3418. Taha Basry
3419,Jupp Heynckes,Germany,4,0,0,1975-10-11,1976-02-28,3419. Jupp Heynckes
3420,Zoltan Crişan,Romania,4,0,0,1975-04-17,1975-12-17,3420. Zoltan Crişan
3421,Arfon Griffiths,Wales,4,0,0,1974-09-04,1975-11-19,3421. Arfon Griffiths
3422,Willy van der Kuijlen,Netherlands,4,0,0,1966-11-30,1975-09-03,3422. Willy van der Kuijlen
3423,Stanislav Karasi,Yugoslavia,4,0,0,1973-12-19,1974-06-30,3423. Stanislav Karasi
3424,Brighton Sinyangwe,Zambia,4,0,0,1973-08-12,1974-03-12,3424. Brighton Sinyangwe
3425,Daniel Imbert,Mauritius,4,0,0,1972-12-10,1974-03-07,3425. Daniel Imbert
3426,Jorge Roldán,Guatemala,4,0,0,1963-03-23,1973-12-05,3426. Jorge Roldán
3427,Saturnino Arrúa,Paraguay,4,0,0,1969-08-24,1973-09-30,3427. Saturnino Arrúa
3428,Adrian Alston,Australia,4,0,0,1973-03-11,1973-08-18,3428. Adrian Alston
3429,August Starek,Austria,4,0,0,1968-11-06,1973-05-23,3429. August Starek
3430,Sabah Hatim,Iraq,4,0,0,1973-03-13,1973-03-24,3430. Sabah Hatim
3431,Alan Vest,New Zealand,4,0,0,1973-02-17,1973-03-16,3431. Alan Vest
3432,Ezzedine Chakroun,Tunisia,4,0,0,1968-11-17,1972-12-17,3432. Ezzedine Chakroun
3433,Omar Ali Hasab El-Rasoul,Sudan,4,0,0,1970-02-06,1972-02-25,3433. Omar Ali Hasab El-Rasoul
3434,Ján Čapkovič,Czechoslovakia,4,0,0,1971-04-21,1971-11-14,3434. Ján Čapkovič
3435,Ladislav Kuna,Czechoslovakia,4,0,0,1967-10-22,1971-10-27,3435. Ladislav Kuna
3436,Ola Dybwad-Olsen,Norway,4,0,0,1969-06-19,1971-09-08,3436. Ola Dybwad-Olsen
3437,Derek Dougan,Northern Ireland,4,0,0,1962-10-10,1971-04-21,3437. Derek Dougan
3438,Olav Nilsen,Norway,4,0,0,1965-06-16,1970-11-11,3438. Olav Nilsen
3439,Tom Turesson,Sweden,4,0,0,1967-11-05,1970-10-28,3439. Tom Turesson
3440,Josip Bukal,Yugoslavia,4,0,0,1969-06-04,1970-10-14,3440. Josip Bukal
3441,Houmane Jarir,Morocco,4,0,0,1969-06-13,1970-06-03,3441. Houmane Jarir
3442,Dimitar Yakimov,Bulgaria,4,0,0,1961-10-29,1969-12-07,3442. Dimitar Yakimov
3443,Víctor Ruiz,Costa Rica,4,0,0,1969-12-04,1969-12-04,3443. Víctor Ruiz
3444,Tom McColl,Australia,4,0,0,1969-10-10,1969-11-23,3444. Tom McColl
3445,Garba Okoye,Nigeria,4,0,0,1969-09-13,1969-11-08,3445. Garba Okoye
3446,Helmut Redl,Austria,4,0,0,1968-05-19,1969-11-05,3446. Helmut Redl
3447,José Eulogio Gárate,Spain,4,0,0,1967-10-22,1969-10-15,3447. José Eulogio Gárate
3448,Hermenegildo Segrera,Colombia,4,0,0,1965-08-01,1969-08-24,3448. Hermenegildo Segrera
3449,Leif Eriksson,Sweden,4,0,0,1962-11-04,1969-06-19,3449. Leif Eriksson
3450,Joseph Obas,Haiti,4,0,0,1965-04-08,1969-04-20,3450. Joseph Obas
3451,Juan Francisco Barraza,El Salvador,4,0,0,1965-03-07,1968-12-15,3451. Juan Francisco Barraza
3452,José Augusto de Almeida,Portugal,4,0,0,1966-07-13,1968-12-11,3452. José Augusto de Almeida
3453,Lascelles Dunkley,Jamaica,4,0,0,1965-01-23,1968-12-01,3453. Lascelles Dunkley
3454,Homayoun Behzadi,Iran,4,0,0,1968-05-10,1968-05-19,3454. Homayoun Behzadi
3455,János Göröcs,Hungary,4,0,0,1958-09-28,1968-05-04,3455. János Göröcs
3456,Eustache Manglé,Ivory Coast,4,0,0,1965-11-14,1968-01-16,3456. Eustache Manglé
3457,Girma Tekle,Ethiopia,4,0,0,1962-01-14,1968-01-12,3457. Girma Tekle
3458,José Augusto Torres,Portugal,4,0,0,1966-07-13,1967-11-12,3458. José Augusto Torres
3459,Eduard Streltsov,Russia,4,0,0,1957-08-15,1967-06-11,3459. Eduard Streltsov
3460,Rafael Santana,Venezuela,4,0,0,1965-06-02,1967-02-01,3460. Rafael Santana
3461,José Urruzmendi,Uruguay,4,0,0,1965-06-06,1967-01-29,3461. José Urruzmendi
3462,Jorge Oyarbide,Uruguay,4,0,0,1967-01-17,1967-01-26,3462. Jorge Oyarbide
3463,Raúl Bernao,Argentina,4,0,0,1965-08-17,1967-01-22,3463. Raúl Bernao
3464,Roger Hunt,England,4,0,0,1966-07-16,1966-10-22,3464. Roger Hunt
3465,Jerzy Sadek,Poland,4,0,0,1965-10-13,1966-10-02,3465. Jerzy Sadek
3466,Valeriy Porkujan,Russia,4,0,0,1966-07-20,1966-07-25,3466. Valeriy Porkujan
3467,Ermindo Onega,Argentina,4,0,0,1965-08-01,1966-07-19,3467. Ermindo Onega
3468,Paolo Barison,Italy,4,0,0,1965-11-01,1966-07-13,3468. Paolo Barison
3469,Mohamed Salah Jedidi,Tunisia,4,0,0,1962-01-20,1965-11-12,3469. Mohamed Salah Jedidi
3470,Louis Pilot,Luxembourg,4,0,0,1963-12-04,1965-11-06,3470. Louis Pilot
3471,Néstor Combin,France,4,0,0,1964-05-23,1965-11-06,3471. Néstor Combin
3472,František Knebort,Czechoslovakia,4,0,0,1965-09-19,1965-10-09,3472. František Knebort
3473,Alberto Spencer,Ecuador,4,0,0,1959-12-25,1965-08-22,3473. Alberto Spencer
3474,Fortunato Castillo,Bolivia,4,0,0,1963-03-10,1965-08-22,3474. Fortunato Castillo
3475,Valery Voronin,Russia,4,0,0,1961-06-18,1965-06-27,3475. Valery Voronin
3476,Errol Daniels,Costa Rica,4,0,0,1965-02-21,1965-05-22,3476. Errol Daniels
3477,William Quirós,Costa Rica,4,0,0,1965-03-28,1965-05-11,3477. William Quirós
3478,Guido Peña,Costa Rica,4,0,0,1965-03-28,1965-03-28,3478. Guido Peña
3479,Ed Murphy,United States,4,0,0,1957-04-28,1965-03-21,3479. Ed Murphy
3480,Mario Monge,El Salvador,4,0,0,1963-03-23,1965-03-14,3480. Mario Monge
3481,Andreas Papaemmanouil,Greece,4,0,0,1961-05-03,1964-12-09,3481. Andreas Papaemmanouil
3482,Marcelino Martínez,Spain,4,0,0,1961-11-23,1964-06-21,3482. Marcelino Martínez
3483,Lucien Cossou,France,4,0,0,1960-12-11,1964-04-25,3483. Lucien Cossou
3484,Mohamed Morsi Hussein,Egypt,4,0,0,1963-11-24,1963-11-26,3484. Mohamed Morsi Hussein
3485,Dieter Erler,German DR,4,0,0,1961-05-14,1963-11-03,3485. Dieter Erler
3486,Juan González,Costa Rica,4,0,0,1963-03-24,1963-04-03,3486. Juan González
3487,Eladio Zárate,Paraguay,4,0,0,1963-03-14,1963-03-27,3487. Eladio Zárate
3488,Raúl Armando Savoy,Argentina,4,0,0,1963-03-20,1963-03-24,3488. Raúl Armando Savoy
3489,Alberto Orlando,Italy,4,0,0,1962-12-02,1962-12-02,3489. Alberto Orlando
3490,Ríkharður Jónsson,Iceland,4,0,0,1957-06-05,1962-08-12,3490. Ríkharður Jónsson
3491,Albert Brülls,Germany,4,0,0,1960-10-26,1962-06-03,3491. Albert Brülls
3492,Jimmy Greaves,England,4,0,0,1960-10-19,1962-06-02,3492. Jimmy Greaves
3493,Tomáš Pospíchal,Czechoslovakia,4,0,0,1961-05-14,1961-11-29,3493. Tomáš Pospíchal
3494,Omar Sivori,Italy,4,0,0,1961-11-04,1961-11-04,3494. Omar Sivori
3495,Chung Soon-cheon,South Korea,4,0,0,1960-11-06,1961-10-08,3495. Chung Soon-cheon
3496,Yaúca,Portugal,4,0,0,1961-03-19,1961-10-08,3496. Yaúca
3497,Bora Kostić,Yugoslavia,4,0,0,1960-05-08,1961-06-04,3497. Bora Kostić
3498,Francisco Flores,Mexico,4,0,0,1961-04-05,1961-04-12,3498. Francisco Flores
3499,Jorge Monge,Costa Rica,4,0,0,1957-02-10,1961-03-29,3499. Jorge Monge
3500,Marvin Rodríguez,Costa Rica,4,0,0,1960-09-04,1961-03-29,3500. Marvin Rodríguez
3501,Cho Yoon-ok,South Korea,4,0,0,1960-10-14,1960-10-17,3501. Cho Yoon-ok
3502,Pinula Contreras,Guatemala,4,0,0,1960-08-28,1960-09-25,3502. Pinula Contreras
3503,Vlastimil Bubník,Czechoslovakia,4,0,0,1957-06-16,1960-07-09,3503. Vlastimil Bubník
3504,Paulo Pisaneschi,Brazil,4,0,0,1959-12-05,1959-12-19,3504. Paulo Pisaneschi
3505,Mario Ludovico Bergara,Uruguay,4,0,0,1959-12-06,1959-12-16,3505. Mario Ludovico Bergara
3506,Juan José Pizzuti,Argentina,4,0,0,1959-03-07,1959-12-09,3506. Juan José Pizzuti
3507,Muhamed Mujić,Yugoslavia,4,0,0,1957-09-29,1959-10-25,3507. Muhamed Mujić
3508,Luis Suárez Miramontes,Spain,4,0,0,1957-03-10,1959-06-28,3508. Luis Suárez Miramontes
3509,Ricardo Alcón,Bolivia,4,0,0,1953-03-08,1959-03-21,3509. Ricardo Alcón
3510,Cayetano Ré,Paraguay,4,0,0,1958-06-11,1959-03-15,3510. Cayetano Ré
3511,Zdeněk Zikán,Czechoslovakia,4,0,0,1958-06-11,1958-06-17,3511. Zdeněk Zikán
3512,José Parodi,Paraguay,4,0,0,1954-02-14,1958-06-15,3512. José Parodi
3513,Todor Veselinović,Yugoslavia,4,0,0,1954-03-28,1958-06-15,3513. Todor Veselinović
